ID,country,owner_age,attitude_stable_business_environment,attitude_worried_shutdown,compliance_income_tax,perception_insurance_doesnt_cover_losses,perception_cannot_afford_insurance,personal_income,business_expenses,business_turnover,business_age_years,motor_vehicle_insurance,has_mobile_money,current_problem_cash_flow,has_cellphone,owner_sex,offers_credit_to_customers,attitude_satisfied_with_achievement,has_credit_card,keeps_financial_records,perception_insurance_companies_dont_insure_businesses_like_yours,perception_insurance_important,has_insurance,covid_essential_service,attitude_more_successful_next_year,problem_sourcing_money,marketing_word_of_mouth,has_loan_account,has_internet_banking,has_debit_card,future_risk_theft_stock,business_age_months,medical_insurance,funeral_insurance,motivation_make_more_money,uses_friends_family_savings,uses_informal_lender,Target
ID_DUMMY000000,eswatini,45.960569836134795,Yes,No,Yes,Yes,Yes,2260.7940896601576,2897.294956793182,28041.861928636896,0.8481243523117314,Used to have but don't have now,Never had,,Yes,Female,"Yes, always",Yes,Never had,"Yes, always",Yes,Don't know or N/A,Yes,Yes,Don't know,No,Yes,Have now,Used to have but don't have now,Have now,Yes,18.719342440344317,Never had,Used to have but don't have now,No,Have now,Have now,Medium
ID_DUMMY000001,zimbabwe,58.9505537860887,Yes,No,Yes,Yes,No,13833.790404663676,542.2832254294201,4801.13716616355,1.0033949437483167,Never had,Have now,No,No,Male,No,No,Used to have but don't have now,"Yes, always",No,Yes,No,No,Don't know,Yes,Yes,Never had,Used to have but don't have now,Never had,No,22.00854118241206,Never had,Never had,Yes,Have now,Have now,Low
ID_DUMMY000002,lesotho,42.90354725879241,Don't know or N/A,No,Yes,No,No,64.93842483509387,82.48556028972531,657.1303807104579,4.731854369498993,Never had,Used to have but don't have now,No,Yes,Male,No,Yes,Never had,"Yes, sometimes",No,No,Yes,No,Yes,Yes,Yes,Have now,Have now,Have now,Yes,16.73926327824502,Never had,Used to have but don't have now,No,Never had,Used to have but don't have now,Medium
ID_DUMMY000003,lesotho,29.103711093745467,No,No,Yes,No,Yes,176.8660377818969,9882.029191240226,1204.2384556498803,1.1136793106434515,Never had,Used to have but don't have now,,No,Female,No,No,Have now,"Yes, always",Yes,Don't know or N/A,No,Yes,Yes,Yes,Yes,Used to have but don't have now,Never had,Used to have but don't have now,No,61.708132609633395,Used to have but don't have now,Never had,No,Have now,Used to have but don't have now,Low
ID_DUMMY000004,lesotho,33.467407305697805,Don't know or N/A,No,Yes,Don't know or N/A,Don't know or N/A,3721.362633112248,195.0994900555988,3555.519390678376,0.33631965439652123,Never had,Used to have but don't have now,,No,Female,"Yes, always",No,Have now,"Yes, always",No,Yes,No,Yes,Don't know,Yes,No,Used to have but don't have now,Used to have but don't have now,Used to have but don't have now,Yes,113.86626447039998,Never had,Have now,Yes,Used to have but don't have now,Used to have but don't have now,Low
ID_DUMMY000005,eswatini,32.79233572097434,Don't know or N/A,No,No,Yes,Yes,1663.3892228311474,444.7178702457741,50721.275269244594,0.6507611697722432,Have now,Have now,Yes,Yes,Male,No,Yes,Never had,No,No,Yes,Yes,Yes,Don't know,No,Yes,Have now,Used to have but don't have now,Used to have but don't have now,No,59.42122921335242,Never had,Used to have but don't have now,Yes,Used to have but don't have now,Have now,Medium
ID_DUMMY000006,lesotho,49.870538945238266,Don't know or N/A,No,No,Don't know or N/A,No,259.3848069137015,1500.1125123447118,53.1221392836539,3.9561189899089877,Never had,Never had,Yes,Yes,Female,"Yes, always",Yes,Used to have but don't have now,"Yes, always",Yes,Yes,Yes,Yes,Yes,Yes,No,Never had,Used to have but don't have now,Never had,No,22.182534663063244,Used to have but don't have now,Have now,Yes,Used to have but don't have now,Never had,Medium
ID_DUMMY000007,lesotho,48.86159895994493,Yes,No,No,Yes,Yes,4199.566406438514,921.9837294814484,1051.5424318216624,2.460651458971093,Never had,Used to have but don't have now,No,No,Female,"Yes, sometimes",No,Used to have but don't have now,"Yes, always",Don't know or N/A,Don't know or N/A,Yes,Yes,No,No,Yes,Never had,Never had,Never had,No,32.56188381286751,Never had,Have now,Yes,Have now,Have now,Medium
ID_DUMMY000008,zimbabwe,34.47233474848255,Yes,No,Yes,Yes,Don't know or N/A,24692.243684674948,1836.1521430877053,75.68104405847122,0.7594907391031442,Used to have but don't have now,Never had,Yes,Yes,Male,"Yes, sometimes",No,Have now,"Yes, always",No,Yes,Yes,No,Yes,No,No,Have now,Have now,Have now,No,96.26363769048476,Never had,Never had,No,Never had,Never had,Medium
ID_DUMMY000009,eswatini,31.876935996328495,Don't know or N/A,No,Yes,Yes,Don't know or N/A,10130.972328508647,5148.698708375219,9665.365563953681,7.376072630217568,Have now,Used to have but don't have now,,Yes,Male,No,Yes,Never had,"Yes, always",Don't know or N/A,Yes,Yes,No,Yes,Yes,Yes,Used to have but don't have now,Never had,Have now,No,8.885358208090842,Have now,Never had,No,Never had,Have now,Medium
ID_DUMMY000010,lesotho,29.929389721328338,Yes,No,No,No,Yes,1606.117810508998,1802.4374145846543,10466.984288682243,2.009094006256505,Never had,Have now,,Yes,Male,No,Yes,Used to have but don't have now,"Yes, sometimes",Yes,No,Yes,Yes,No,No,Yes,Have now,Used to have but don't have now,Used to have but don't have now,No,7.627002034322836,Used to have but don't have now,Used to have but don't have now,Yes,Used to have but don't have now,Used to have but don't have now,Medium
ID_DUMMY000011,malawi,26.72398031192766,Don't know or N/A,Yes,Yes,No,Yes,272.48586789935,3710.005854346834,20769.31739597269,10.911259562007574,Never had,Used to have but don't have now,,Yes,Female,"Yes, sometimes",Yes,Used to have but don't have now,"Yes, sometimes",Yes,Don't know or N/A,No,No,No,Yes,Yes,Used to have but don't have now,Have now,Have now,Yes,56.66579101943392,Never had,Have now,Yes,Used to have but don't have now,Have now,Medium
ID_DUMMY000012,zimbabwe,44.33963230057161,Don't know or N/A,No,No,Don't know or N/A,Yes,820.3741287588199,1885.7735899916356,28809.65403892576,7.369449833606822,Never had,Never had,,Yes,Male,"Yes, sometimes",Yes,Have now,"Yes, always",Yes,No,No,Yes,No,Yes,Yes,Used to have but don't have now,Never had,Have now,No,59.255471563726886,Used to have but don't have now,Used to have but don't have now,Yes,Never had,Never had,Medium
ID_DUMMY000013,zimbabwe,8.56305875092307,No,Yes,Yes,Don't know or N/A,No,15425.92799555687,1249.589782402259,1055.5178400777831,1.8869835439754992,Have now,Used to have but don't have now,,Yes,Female,"Yes, always",Yes,Have now,"Yes, always",No,Yes,Yes,No,No,No,Yes,Never had,Never had,Used to have but don't have now,Yes,61.02848293976433,Have now,Have now,No,Never had,Have now,Medium
ID_DUMMY000014,malawi,37.36393734594986,Don't know or N/A,No,No,Yes,Yes,6088.914751034207,10065.21870514743,711.313746267059,1.2990257845869702,Have now,Never had,,No,Male,"Yes, always",No,Have now,No,No,No,Yes,No,Don't know,Yes,No,Never had,Used to have but don't have now,Have now,Yes,9.23758917945516,Used to have but don't have now,Used to have but don't have now,Yes,Have now,Have now,Low
ID_DUMMY000015,eswatini,30.29807676528175,Don't know or N/A,No,No,Don't know or N/A,Yes,1092.7862570493537,4329.0490439999,3267.407047119659,8.139844703702781,Used to have but don't have now,Have now,,No,Female,"Yes, sometimes",No,Used to have but don't have now,"Yes, sometimes",Don't know or N/A,Yes,Yes,No,Don't know,No,Yes,Used to have but don't have now,Used to have but don't have now,Have now,No,22.3884070663243,Used to have but don't have now,Never had,No,Have now,Never had,Medium
ID_DUMMY000016,lesotho,41.16493059217648,Don't know or N/A,No,No,No,No,20687.604450341485,382.57333454250664,1002.4558678570738,1.2934337306969068,Used to have but don't have now,Never had,,No,Male,No,Yes,Have now,No,Don't know or N/A,Don't know or N/A,No,Yes,Yes,No,Yes,Never had,Never had,Never had,Yes,51.25293463515076,Never had,Have now,Yes,Have now,Have now,Low
ID_DUMMY000017,zimbabwe,43.55344332477491,Don't know or N/A,No,No,No,Yes,5024.647314825699,1105.0768786423127,1185.2904866298775,2.7013666045933564,Never had,Used to have but don't have now,,Yes,Male,"Yes, sometimes",Yes,Never had,No,Don't know or N/A,No,Yes,Yes,Yes,No,Yes,Have now,Used to have but don't have now,Used to have but don't have now,No,26.65293725648763,Have now,Used to have but don't have now,No,Used to have but don't have now,Have now,Low
